url,name,price,quantity_box,quantity_carton,color,material,dipping
https://www.ardon.cz/kombinovane-rukavice-ardon-r-elton-s-prodejni-etiketou,Kombinované rukavice ARDON®ELTON,69.43,12,72,žlutá,bavlna,None
https://www.ardon.cz/macene-rukavice-ardonsafety-perry-uni-s-prodejni-etiketou-doprodej,Máčené rukavice ARDON®PERRY UNI,15.67,None,None,None,None,None
https://www.ardon.cz/macene-rukavice-ardonsafety-randy,Máčené rukavice ARDON®RANDY,43.44,12,120,bílá,polyester,latex
https://www.ardon.cz/kombinovane-rukavice-ardonsafety-elton,Kombinované rukavice ARDON®ELTON,60.50,12,72,žlutá,bavlna,None
https://www.ardon.cz/zimni-rukavice-ardon-r-hobby-reflex-winter-s-prodejni-etiketou,Zimní rukavice ARDON®HOBBY REFLEX WINTER,104.15,12,120,reflexní,kůže,None
https://www.ardon.cz/svarecske-rukavice-ardon-r-kirk,Svářečské rukavice ARDON®KIRK,168.41,12,60,žlutá,hovězí štípenka,None
https://www.ardon.cz/svarecske-rukavice-ardon-r-flame,Svářečské rukavice ARDON®FLAME,198.17,12,60,žluto-černé,hovězí štípenka,None
https://www.ardon.cz/svarecske-rukavice-ardon-r-kirk-rf,Svářečské rukavice ARDON®KIRK RF,166.62,12,60,žlutá,hovězí štípenka,None
https://www.ardon.cz/macene-rukavice-ardonsafety-rich,Máčené rukavice ARDON®RICH,50.58,12,120,červená,bavlna,PVC
https://www.ardon.cz/macene-rukavice-ardonsafety-houston-y-zluta,Máčené rukavice ARDON®HOUSTON Y,24.80,12,240,žlutá,bavlna,nitril
https://www.ardon.cz/protirezne-rukavice-ardon-r-shield-s-prodejni-etiketou,Protiřezné rukavice ARDON®SHIELD,297.54,12,144,modrá,polyester,nitril
https://www.ardon.cz/esd-rukavice-ardonsafety-pulse-touch-06-xs,ESD rukavice ARDON®PULSE TOUCH,30.92,12,240,šedá,nylon,polyuretan
https://www.ardon.cz/macene-rukavice-ardonsafety-perry-uni,Máčené rukavice ARDON®PERRY UNI,9.32,12,300,bílá,polyester,None
https://www.ardon.cz/macene-rukavice-ardon-r-dick-knuckle-10-xl,Máčené rukavice ARDON®DICK KNUCKLE,43.44,12,120,oranžová,polyester,latex
https://www.ardon.cz/chemicke-rukavice-butoject-898-08-m,Chemické rukavice BUTOJECT 898,1188.19,None,None,černá,butyl,None
https://www.ardon.cz/kombinovane-rukavice-ardon-r-bremen-09-l-s-prodejni-etiketou,Kombinované rukavice ARDON®BREMEN,108.90,12,72,zelená,bavlna,None
https://www.ardon.cz/zimni-rukavice-ardonsafety-davis-08-m-s-prodejni-etiketou,Zimní rukavice ARDON®DAVIS,71.21,12,60,žlutá,akryl,latex
https://www.ardon.cz/macene-rukavice-ardonsafety-dick-max-08-m-s-prodejni-etiketou,Máčené rukavice ARDON®DICK MAX,39.48,12,120,červená,polyester,latex
https://www.ardon.cz/celokozene-rukavice-ardon-r-effect-11-2xl,Celokožené rukavice ARDON®EFFECT,362.32,12,60,šedá,kozinka,None
https://www.ardon.cz/kombinovane-rukavice-ardon-r-james,Kombinované rukavice ARDON®JAMES,88.87,12,120,modrá,bavlna,None
https://www.ardon.cz/macene-rukavice-ardonsafety-royd-s-prodejni-etiketou,Máčené rukavice ARDON®ROYD,33.73,None,None,žlutá,polyester,latex
https://www.ardon.cz/kombinovane-rukavice-ardonsafety-rocky,Kombinované rukavice ARDON®ROCKY,29.76,12,120,hnědá,bavlna,None
https://www.ardon.cz/zimni-rukavice-ardonsafety-rocky-winter,Zimní rukavice ARDON®ROCKY WINTER,51.58,12,60,šedá,None,None
https://www.ardon.cz/zimni-rukavice-ardonsafety-gino-winter,Zimní rukavice ARDON®GINO WINTER,79.15,12,60,šedá,bavlna,None
https://www.ardon.cz/kombinovane-rukavice-ardonsafety-gino,Kombinované rukavice ARDON®GINO,57.33,12,120,šedá,bavlna,None
https://www.ardon.cz/kombinovane-rukavice-ardonsafety-mary,Kombinované rukavice ARDON®MARY,79.34,12,72,šedá,bavlna,None
